sample,tr,sec404.2,secmb2502,mb34611,cytoweis,g3pd,nadh,x280,x230
1,control,34.58,39.68,37.91,32.95,27.32,30.46,2.25,2.99
1,control,33.38,36.1,35.32,32.23,27.1,30.44,2.25,2.99
1,control,35.63,NA,34.78,32.28,27.22,30.59,2.25,2.99
5,control,27.45,28.62,31.24,27.93,23.46,26.93,2.19,2.33
5,control,27.72,28.74,31.13,28.02,23.37,26.94,2.19,2.33
5,control,27.62,28.65,31.64,27.64,23.51,27.08,2.19,2.33
9,G,33.97,33.14,34.75,31.63,28.8,31.54,2.19,2.26
9,G,34.05,33.49,34.93,31.75,28.85,31.25,2.19,2.26
9,G,33.23,32.96,35.39,31.44,28.48,31.52,2.19,2.26
10,G,33.59,35.36,36.55,32.77,27.57,30.72,2.16,2.12
10,G,33.22,35.48,35.61,33.27,27.35,30.25,2.16,2.12
10,G,33.29,34.58,35.57,34.47,27.53,30.26,2.16,2.12
11,G,33.48,33.9,35.84,32.71,28.83,32.11,2.18,2.34
11,G,34.58,34.29,35.79,32.75,29.18,32.64,2.18,2.34
11,G,33.92,33.85,37.84,32.73,28.94,31.72,2.18,2.34
12,G,33.99,32.58,36.42,31.77,27.95,31.23,2.19,2.35
12,G,33.89,32.85,34.41,31.65,27.93,31,2.19,2.35
12,G,35.21,32.09,36.68,31.07,27.85,30.9,2.19,2.35
13,G,31.8,33.88,35.51,32.41,26.59,29.9,2.16,2.42
13,G,31.92,33.5,36.2,32.45,26.75,29.7,2.16,2.42
13,G,31.88,33.89,36.34,32.73,26.48,30.08,2.16,2.42
15,S,31.43,35.15,32.78,28.97,26.02,29.51,2.19,2.4
15,S,31.43,34.99,32.53,29.06,26.07,29.51,2.19,2.4
15,S,31.92,35.51,32.8,28.94,26.08,29.54,2.19,2.4
17,S,31.63,NA,33.91,30.19,26.83,30.51,2.22,2.34
17,S,31.85,36.32,34.13,30.91,26.75,30.09,2.22,2.34
17,S,31.84,37.84,35.04,30.25,26.57,30.78,2.22,2.34
18,S,30.93,NA,33.65,30.98,26.49,29.52,2.2,2.23
18,S,30.63,37.54,33.1,30.79,26.18,29.46,2.2,2.23
18,S,30.54,39.92,33.84,30.94,26.39,29.73,2.2,2.23
20,S,31.59,NA,34.16,32.8,27.72,30.93,2.17,2.26
20,S,32.24,37.23,34.56,32.33,27.58,30.89,2.17,2.26
20,S,32.2,NA,34.8,32.47,27.71,30.65,2.17,2.26
21,S,31.36,NA,34.32,31.72,26.31,29.93,2.19,2.32
21,S,31.8,39.62,34.42,31.52,26.46,30.12,2.19,2.32
21,S,31.65,NA,34.26,31.74,26.62,NA,2.19,2.32
24,control,30.79,36.1,33.2,30.24,25.93,28.74,2.16,2.38
24,control,30.61,34.79,33.52,29.84,26.04,28.69,2.16,2.38
24,control,30.74,34.71,32.63,30.13,26.13,29.82,2.16,2.38
25,control,36.17,33.99,35.57,29.83,27.36,30.07,2.2,2.42
25,control,35.84,33.87,34.65,30.08,27.4,29.76,2.2,2.42
25,control,35.81,34.46,34.54,29.59,27.17,30.01,2.2,2.42
27,control,32.29,34.2,NA,32.02,27.4,30.31,2.21,2.35
27,control,31.94,33.29,34.99,31.76,27.05,NA,2.21,2.35
27,control,32.08,34.86,35.52,31.6,27.28,30.07,2.21,2.35