Ct,Genes,DNA
29.72,AeleCA6,26.2
29.77,AeleCA6,26.2
30.18,AeleCA6,26.2
31.32,AeleCA6,13.1
30.99,AeleCA6,13.1
31.09,AeleCA6,13.1
31.59,AeleCA6,6.55
32.01,AeleCA6,6.55
32.12,AeleCA6,6.55
32.42,AeleCA6,3.275
33.59,AeleCA6,3.275
33.27,AeleCA6,3.275
33.8,AeleCA6,1.6375
33.76,AeleCA6,1.6375
33.77,AeleCA6,1.6375
34.26,AeleCA6,0.81875
33.93,AeleCA6,0.81875
35.91,AeleCA6,0.81875
36.52,AeleCA6,0.409375
36.29,AeleCA6,0.409375
35.81,AeleCA6,0.409375
27.58,AeleCA9,26.2
27.67,AeleCA9,26.2
27.7,AeleCA9,26.2
28.62,AeleCA9,13.1
28.6,AeleCA9,13.1
28.68,AeleCA9,13.1
29.74,AeleCA9,6.55
29.85,AeleCA9,6.55
29.57,AeleCA9,6.55
30.66,AeleCA9,3.275
30.83,AeleCA9,3.275
30.99,AeleCA9,3.275
31.95,AeleCA9,1.6375
31.65,AeleCA9,1.6375
31.95,AeleCA9,1.6375
32.68,AeleCA9,0.81875
32.64,AeleCA9,0.81875
32.84,AeleCA9,0.81875
34.43,AeleCA9,0.409375
33.98,AeleCA9,0.409375
34.66,AeleCA9,0.409375
29.44,AeleCA4,26.2
29.52,AeleCA4,26.2
29.59,AeleCA4,26.2
30.48,AeleCA4,13.1
30.85,AeleCA4,13.1
30.82,AeleCA4,13.1
31.48,AeleCA4,6.55
31.49,AeleCA4,6.55
31.52,AeleCA4,6.55
32.85,AeleCA4,3.275
33.19,AeleCA4,3.275
33.14,AeleCA4,3.275
34.47,AeleCA4,1.6375
35.6,AeleCA4,1.6375
34.32,AeleCA4,1.6375
34.8,AeleCA4,0.81875
35.36,AeleCA4,0.81875
36.53,AeleCA4,0.409375
34.94,AeleCA4,0.409375
35.41,AeleCA4,0.409375
20.95,G3PD,26.2
20.69,G3PD,26.2
20.74,G3PD,26.2
22.07,G3PD,13.1
22.23,G3PD,13.1
21.93,G3PD,13.1
23.37,G3PD,6.55
23.23,G3PD,6.55
23.2,G3PD,6.55
24.71,G3PD,3.275
24.53,G3PD,3.275
24.22,G3PD,3.275
25.61,G3PD,1.6375
25.44,G3PD,1.6375
24.95,G3PD,1.6375
26.78,G3PD,0.81875
26.58,G3PD,0.81875
26.42,G3PD,0.81875
27.55,G3PD,0.409375
27.2,G3PD,0.409375
27.3,G3PD,0.409375
25.6,NADH,26.2
25.12,NADH,26.2
25.21,NADH,26.2
26.98,NADH,13.1
26.92,NADH,13.1
26.62,NADH,13.1
28.51,NADH,6.55
28.27,NADH,6.55
28.36,NADH,6.55
30,NADH,3.275
29.89,NADH,3.275
29.51,NADH,3.275
31.46,NADH,1.6375
31.17,NADH,1.6375
29.59,NADH,1.6375
31.64,NADH,0.81875
31.37,NADH,0.81875
30.93,NADH,0.81875
32.62,NADH,0.409375
32.07,NADH,0.409375
31.62,NADH,0.409375
22.77,AeleCA1,26.2
23.23,AeleCA1,26.2
23.51,AeleCA1,26.2
24.54,AeleCA1,13.1
24.7,AeleCA1,13.1
25.34,AeleCA1,13.1
25.72,AeleCA1,6.55
26.36,AeleCA1,6.55
26.07,AeleCA1,6.55
26.63,AeleCA1,3.275
27.74,AeleCA1,3.275
27.79,AeleCA1,3.275
27.8,AeleCA1,1.6375
28.08,AeleCA1,1.6375
28.54,AeleCA1,1.6375
28.85,AeleCA1,0.81875
29.35,AeleCA1,0.81875
29.29,AeleCA1,0.81875
30.14,AeleCA1,0.409375
30.01,AeleCA1,0.409375
30.1,AeleCA1,0.409375